Título;ISSN impresa;ISSN en linea;Instituto/Editorial;NBRA;URL_NBRA;DOAJ;URL_DOAJ;Latindex;URL_Latindex;Redalyc;URL_Redalyc;Scimago;URL_Scimago;Scielo;URL_Scielo;WoS;URL_WoS;Biblat;URL_Biblat;Dialnet;URL_Dialnet
(En)clave Comahue;2545-6466;2545-6393;Universidad Nacional del Comahue, Facultad de Derecho y Ciencias Sociales;false;null;true;https://doaj.org/toc/2545-6393;true;https://www.latindex.org/latindex/ficha/23305;false;null;false;null;false;null;false;null;false;null;false;null
+E Revista de Extensión Universitaria;2346-9986;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://biblat.unam.mx/es/revista/e-revista-de-extension-universitaria/articulo/cartografia-social-cartografias-y-multiplicidad-producir-metodo-desde-las-trayectorias-en-patagonia-central;true;https://dialnet.unirioja.es/servlet/revista?codigo=26338
1991. Revista de estudios internacionales;;2683-720X;Facultad de Cicias Sociales, Universidad Nacional de Córdoba;true;https://www.caicyt-conicet.gov.ar/sitio/1991-revista-de-estudios-internacionales/;true;https://doaj.org/toc/2683-720X;true;https://www.latindex.org/latindex/ficha/24857;false;null;false;null;false;null;false;null;false;null;false;null
A y P continuidad;2362-6089;2362-6097;Universidad Nacional de Rosario;true;https://www.caicyt-conicet.gov.ar/sitio/ap-continuidad-en-linea/;true;https://doaj.org/toc/2362-6097;true;https://www.latindex.org/latindex/ficha/24130;false;null;false;null;true;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2362-6097&lng=es&nrm=iso;false;null;false;null;true;https://dialnet.unirioja.es/servlet/revista?codigo=28544
Ab Intus;;2618-2734;Universidad Nacional de Río Cuarto;false;null;true;https://doaj.org/toc/2618-2734;true;https://www.latindex.org/latindex/ficha/24157;false;null;false;null;false;null;false;null;false;null;false;null
Academia;1667-4154;2422-7153;Universidad de Buenos Aires. Facultad de Derecho. Departamento de Publicaciones.;true;https://www.caicyt-conicet.gov.ar/sitio/academia-buenos-aires/;undefined;undefined;true;https://www.latindex.org/latindex/ficha/22094;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;true;https://dialnet.unirioja.es/servlet/revista?codigo=16219
ACTA BIOQUIMICA CLINICA LATINOAMERICANA;0325-2957;1851-6114;FEDERACION BIOQUIMICA PROVINCIA BUENOS AIRES , CALLE 6, NO. 1344, LA PLATA, BUENOS AIRES, ARGENTINA, 1900;true;https://www.caicyt-conicet.gov.ar/sitio/acta-bioquimica-clinica-latinoamericana/;false;null;true;https://www.latindex.org/latindex/ficha/210;true;https://www.redalyc.org/revista.oa?id=535&tipo=coleccion;false;null;true;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0325-2957&lng=es&nrm=iso;true;null;true;https://biblat.unam.mx/es/revista/acta-bioquimica-clinica-latinoamericana/articulo/alteraciones-de-parametros-de-laboratorio-en-pacientes-con-sars-cov-2;false;null
Acta bioquímica clínica latinoamericana. Suplemento;1851-7064;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://biblat.unam.mx/es/revista/acta-bioquimica-clinica-latinoamericana-suplemento/articulo/iii-congreso-internacional-sobre-cambio-climatico-y-desarrollo-sustentable;false;null
Acta farmacéutica bonaerense;0326-2383;2362-3853;Colegio de Farmaceuticos de la Provincia de Buenos Aires;true;https://www.caicyt-conicet.gov.ar/sitio/latin-american-journal-of-pharmacy/;false;null;false;null;false;null;true;https://www.scimagojr.com/journalsearch.php?q=19381&tip=sid&clean=0;false;null;false;null;true;https://biblat.unam.mx/es/revista/acta-farmaceutica-bonaerense/articulo/2-3-4-6-tetra-o-3-nitropropanoyl-o-beta-d-glucopyranoside-a-new-antimicrobial-from-the-roots-of-heteropteris-aphrodisiaca;false;null
Acta Gastroenterologica Latinoamericana;0300-9033;2469-1119;Sociedad Argentina de Gastroenterologia;true;https://www.caicyt-conicet.gov.ar/sitio/acta-gastroenterologica-latinoamericana/;true;https://doaj.org/toc/2469-1119;false;null;false;null;true;https://www.scimagojr.com/journalsearch.php?q=27821&tip=sid&clean=0;false;null;false;null;true;https://biblat.unam.mx/es/revista/acta-gastroenterologica-latinoamericana/articulo/ablacion-por-radiofrecuencia-en-esofago-de-barrett-experiencia-inicial;false;null
Acta geológica lilloana;0567-7513;1852-6217;Fundación Miguel Lillo;false;null;false;null;true;https://www.latindex.org/latindex/ficha/249;false;null;false;null;false;null;false;null;true;https://biblat.unam.mx/es/revista/acta-geologica-lilloana/articulo/caracterizacion-hidroquimica-del-valle-de-tafi-provincia-de-tucuman-republica-argentina;true;https://dialnet.unirioja.es/servlet/revista?codigo=19914
Acta Odontologica Latinoamericana;1852-4834;0326-4815;undefined;false;null;false;null;false;null;false;null;true;https://www.scimagojr.com/journalsearch.php?q=52374&tip=sid&clean=0;false;null;false;null;false;null;false;null
Acta physiologica et pharmacologica latinoamericana;0326-6656;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://biblat.unam.mx/es/revista/acta-physiologica-et-pharmacologica-latinoamericana/articulo/identificacion-de-anticuerpos-dirigidos-a-los-receptores-colinergicos-muscarinicos-cardiacos-rcmc-en-el-suero-de-pacientes-chagasicos-implicancias-patogenicas;false;null
Acta physiologica latinoamericana;0001-6764;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://biblat.unam.mx/es/revista/acta-physiologica-latinoamericana/articulo/cardiovascular-effects-of-2-br-alpha-ergocriptine-in-urethane-anesthetized-rats;false;null
Acta physiologica, pharmacologica et therapeutica latinoamericana;0327-6309;;;false;null;false;null;false;null;false;null;false;null;false;null;false;null;true;https://biblat.unam.mx/es/revista/acta-physiologica-pharmacologica-et-therapeutica-latinoamericana/articulo/early-lipid-alterations-in-spontaneously-diabetic-rats;false;null
ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA;0001-6896;2362-2829;FUNDACION ACTA , FONDO PARA LA SALUD MENTAL MALABIA 2274 13 A, BUENOS AIRES, ARGENTINA,;true;https://www.caicyt-conicet.gov.ar/sitio/acta-psiquiatrica-y-psicologica-de-america-latina/;false;null;false;null;false;null;false;null;false;null;true;null;true;https://biblat.unam.mx/es/revista/acta-psiquiatrica-y-psicologica-de-america-latina/articulo/apostillas-a-una-historia-de-las-ideas-psiquiatricas;false;null
Acta toxicológica argentina;0327-9286;1851-3743;;true;https://www.caicyt-conicet.gov.ar/sitio/acta-toxicologica-argentina/;true;https://doaj.org/toc/1851-3743;false;null;false;null;false;null;false;null;false;null;false;null;false;null
