Título;ISSN impresa;ISSN en linea;Área;Instituto;URL
A&P continuidad (En línea);;2362-6097;Ciencias sociales y humanidades;Facultad de Arquitectura Planeamito y Diseño, Universidad Nacional de Rosario;https://www.caicyt-conicet.gov.ar/sitio/ap-continuidad-en-linea/
Academia (Buenos Aires);1667-4154;2422-7153;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/academia-buenos-aires/
Acta bioquímica clínica latinoamericana;0325-2957;1851-6114;Ciencias exactas y naturales;;https://www.caicyt-conicet.gov.ar/sitio/acta-bioquimica-clinica-latinoamericana/
Acta gastroenterológica latinoamericana;0300-9033;2469-1119;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/acta-gastroenterologica-latinoamericana/
Acta odontológica latinoamericana;0326-4815;1852-4834;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/acta-odontologica-latinoamericana/
Acta psiquiátrica y psicológica de América Latina;0001-6896;2362-2829;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/acta-psiquiatrica-y-psicologica-de-america-latina/
Acta toxicológica argentina;0327-9286;1851-3743;Ciencias exactas y naturales;;https://www.caicyt-conicet.gov.ar/sitio/acta-toxicologica-argentina/
Acta zoológica Lilloana (En línea);;1852-6098;Ciencias exactas y naturales;Fundación Miguel Lillo;https://www.caicyt-conicet.gov.ar/sitio/acta-zoologica-lilloana-en-linea/
Actualización en nutrición (En línea);;2250-7183;Ciencias biológicas y de la salud;Sociedad Argtina de Nutrición;https://www.caicyt-conicet.gov.ar/sitio/actualizacion-en-nutricion-en-linea/
Actualizaciones en osteología;1666-8975;1669-8983;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/actualizaciones-en-osteologia/
Actualizaciones en Sida e Infectología (En línea);;2718-7845;Ciencias biológicas y de la salud;Sociedad Argtina de Infectología ;https://www.caicyt-conicet.gov.ar/sitio/actualizaciones-en-sida-e-infectologia-en-linea/
Agriscientia (Córdoba);0327-6244;1668-298X;Ciencias agrarias, ingeniería y materiales;;https://www.caicyt-conicet.gov.ar/sitio/agriscientia-cordoba/
Agronomía & ambiente;2314-2243;2344-9039;Ciencias agrarias, ingeniería y materiales;;https://www.caicyt-conicet.gov.ar/sitio/agronomia-ambiente/
Anacronismo e irrupción;;2250-4982;Ciencias sociales y humanidades;Instituto de Investigaciones Gino Germani;https://www.caicyt-conicet.gov.ar/sitio/anacronismo-e-irrupcion/
Analecta veterinaria;0365-5148;1514-2590;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/analecta-veterinaria/
Anales (Asociación Física Argentina. En línea);0327-358X;1850-1168;Ciencias exactas y naturales;;https://www.caicyt-conicet.gov.ar/sitio/anales-asociacion-fisica-argentina-en-linea/
Anales de arqueología y etnología (En línea);;2591-3093;Ciencias sociales y humanidades;Facultad de Filosofía y Letras, Universidad Nacional de Cuyo;https://www.caicyt-conicet.gov.ar/sitio/anales-de-arqueologia-y-etnologia-en-linea/
Anales de historia antigua, medieval y moderna (En línea);;1853-1555;Ciencias sociales y humanidades;Facultad de Filosofía y Letras, Universidad de Buos Aires;https://www.caicyt-conicet.gov.ar/sitio/anales-de-historia-antigua-medieval-y-moderna-en-linea/
Anales del Instituto de Arte Americano e Investigaciones Estéticas Mario J. Buschiazzo;0328-9796;2362-2024;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/anales-del-instituto-de-arte-americano-e-investigaciones-esteticas-mario-j-buschiazzo/
Análisis filosófico;0326-1301;1851-9636;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/analisis-filosofico/
Anclajes (Santa Rosa);0329-3807;1851-4669;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/anclajes-santa-rosa/
Andes (Salta);0327-1676;1668-8090;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/andes-salta/
Antigua Matanza;;2545-8701;Ciencias sociales y humanidades;Secretaría de Extsión Universitaria, Universidad Nacional de La Matanza ;https://www.caicyt-conicet.gov.ar/sitio/antigua-matanza/
Antiguo Oriente;1667-9202;X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/antiguo-oriente/
Antiguos jesuitas en Iberoamérica;;2314-3908;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/antiguos-jesuitas-en-iberoamerica/
Anuario (Centro de Estudios Económicos de la Empresa y el Desarrollo. En línea);;2545-8299;Ciencias sociales y humanidades;Facultad de Cicias Económicas, Universidad de Buos Aires ;https://www.caicyt-conicet.gov.ar/sitio/anuario-centro-de-estudios-economicos-de-la-empresa-y-el-desarrollo-en-linea/
Anuario de Arqueología;1852-8554;2684-0138;Ciencias sociales y humanidades;Facultad de Humanidades y Artes, Universidad Nacional de Rosario ;https://www.caicyt-conicet.gov.ar/sitio/anuario-de-arqueologia/
Anuario de investigaciones (Facultad de Psicología Universidad de Buenos Aires);0329-5885;1851-1686;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/anuario-de-investigaciones-facultad-de-psicologia-universidad-de-buenos-aires/
Anuario de la Escuela de Historia Virtual;1666-5856;1853-7049;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/anuario-de-la-escuela-de-historia-virtual/
Anuario del Centro de Estudios Históricos Profesor Carlos A. Segretti;1666-6836;2683-9164;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/anuario-del-centro-de-estudios-historicos-profesor-carlos-a-segretti/
Anuario del Instituto de Historia Argentina;1668-950X;2314-257X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/anuario-del-instituto-de-historia-argentina/
Anuario digital;0327-215X;1853-8835;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/anuario-digital/
Anuario Escuela de Archivología;;1852-6446;Ciencias sociales y humanidades;Universidad Nacional de Córdoba;https://www.caicyt-conicet.gov.ar/sitio/anuario-escuela-de-archivologia/
Anuario IEHS;0326-9671;2524-9339;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/anuario-iehs/
Anuario tarea (Ciudad Autónoma de Buenos Aires. En línea);;2469-0422;Ciencias sociales y humanidades;Universidad Nacional de San Martín;https://www.caicyt-conicet.gov.ar/sitio/anuario-tarea-ciudad-autonoma-de-buenos-aires-en-linea/
Aportes para la integración latinoamericana;;2468-9912;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/aportes-para-la-integracion-latinoamericana/
Apuntes de investigación del CECYP;0329-2142;1851-9814;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/apuntes-de-investigacion-del-cecyp/
Archivos argentinos de pediatría;0325-0075;1668-3501;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/archivos-argentinos-de-pediatria/
Archivos de historia del movimiento obrero y la izquierda (En línea);;2683-9601;Ciencias sociales y humanidades;Instituto de Historia Argtina y Americana “Dr Emilio Ravignani”, Facultad de Filosofía y Letras, Universidad de Buos Aires;https://www.caicyt-conicet.gov.ar/sitio/archivos-de-historia-del-movimiento-obrero-y-la-izquierda-en-linea/
Archivos de medicina familiar y general;1668-8341;2314-159X;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/archivos-de-medicina-familiar-y-general/
Area (En línea);;2591-5312;Ciencias sociales y humanidades;Facultad de Arquitectura, Diseño y Urbanismo, Universidad de Buos Aires;https://www.caicyt-conicet.gov.ar/sitio/area-en-linea/
Argentinian journal of respiratory and physical therapy;;2618-4095;Ciencias biológicas y de la salud;Asociación Civil Citífica de Difusión y Promoción de la Kinesiología;https://www.caicyt-conicet.gov.ar/sitio/argentinian-journal-of-respiratory-and-physical-therapy/
Argumentos (Buenos Aires);;1666-8979;Ciencias sociales y humanidades;Instituto de Investigaciones Gino Germani;https://www.caicyt-conicet.gov.ar/sitio/argumentos-buenos-aires/
